name,year_of_release,genre,publisher,global_sales,console,developer
Call of Duty: Black Ops IIII,2018,Shooter,Activision,9.32,PS4,Treyarch
Call of Duty 4: Modern Warfare,2007,Shooter,Activision,9.31,X360,Infinity Ward
Donkey Kong Country,1994,Platform,Nintendo,9.3,SNES,Unknown
Minecraft,2013,Other,Microsoft Game Studios,9.18,X360,Unknown
Animal Crossing: New Leaf,2012,Simulation,Nintendo,9.16,3DS,Nintendo
FIFA 19,2018,Sports,Electronic Arts,9.15,PS4,EA Sports
Mario Party DS,2007,Other,Nintendo,8.91,DS,Hudson Soft
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,8.79,X360,Bethesda Game Studios
Spider-Man (PS4),2018,Action-Adventure,Sony Interactive Entertainment,8.76,PS4,Unknown
Super Mario Kart,1992,Racing,Nintendo,8.76,SNES,Unknown
Grand Theft Auto V,2014,Action-Adventure,Rockstar Games,8.72,XOne,Unknown
Halo 2,2004,Shooter,Microsoft Game Studios,8.49,XB,Bungie Software
Call of Duty: Infinite Warfare,2016,Shooter,Activision,8.48,PS4,Unknown
Fallout 4,2015,Role-Playing,Bethesda Softworks,8.48,PS4,Unknown
Wii Party,2010,Other,Nintendo,8.38,Wii,Nd Cube
Mario Party 8,2007,Other,Nintendo,8.27,Wii,Hudson
FIFA 16,2015,Sports,EA Sports,8.22,PS4,Unknown
FIFA Soccer 13,2012,Action-Adventure,Electronic Arts,8.16,PS3,Electronic Arts
GoldenEye 007,1997,Shooter,Nintendo,8.09,N64,Unknown
Pokemon Black 2/Pokemon White 2,2012,Role-Playing,Nintendo,8.07,DS,Unknown
Final Fantasy X,2001,Role-Playing,Sony Computer Entertainment,8.05,PS2,SquareSoft
Star Wars Battlefront 2015,2015,Shooter,Electronic Arts,8.03,PS4,Unknown
The Sims 3,2009,Simulation,Electronic Arts,8.01,PC,The Sims Studio
FIFA 13,2012,Sports,EA Sports,8.01,PS3,EA Canada
Mario & Sonic at the Olympic Games,2007,Sports,Sega,7.99,Wii,Unknown
Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,7.98,PS4,Unknown
Final Fantasy VIII,1999,Role-Playing,SquareSoft,7.86,PS,SquareSoft
Pac-Man,1982,Puzzle,Atari,7.81,2600,Unknown
Pokémon Platinum Version,2008,Role-Playing,Nintendo,7.72,DS,Game Freak
Grand Theft Auto: Liberty City Stories,2005,Action-Adventure,Take-Two Interactive,7.69,PSP,Rockstar Leeds
The Legend of Zelda: Ocarina of Time,1998,Action-Adventure,Nintendo,7.6,N64,Unknown
Crash Bandicoot 2: Cortex Strikes Back,1997,Platform,Sony Computer Entertainment,7.58,PS,Unknown
Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,7.55,3DS,Unknown
Call of Duty: Advanced Warfare,2014,Shooter,Activision,7.53,PS4,Unknown
Super Mario Galaxy 2,2010,Platform,Nintendo,7.51,Wii,Nintendo EAD Tokyo
Super Mario Bros. 2,1988,Platform,Nintendo,7.46,NES,Unknown
Call of Duty: World at War,2008,Shooter,Activision,7.38,X360,Treyarch
Call of Duty: Black Ops 3,2015,Shooter,Activision,7.37,XOne,Unknown
Battlefield 3,2011,Shooter,Electronic Arts,7.32,X360,EA DICE
Battlefield 1,2016,Shooter,Electronic Arts,7.26,PS4,Unknown
Need for Speed Underground,2003,Racing,Electronic Arts,7.2,PS2,EA Black Box
Just Dance,2009,Other,Ubisoft,7.2,Wii,Ubisoft Paris
Battlefield 3,2011,Shooter,Electronic Arts,7.17,PS3,EA DICE
Tekken 3,1998,Fighting,Sony Computer Entertainment,7.16,PS,Namco
The Legend of Zelda: Twilight Princess,2006,Action-Adventure,Nintendo,7.15,Wii,Nintendo
Pokemon Sun/Moon,2016,Role-Playing,Nintendo,7.14,3DS,Unknown
Crash Bandicoot 3: Warped,1998,Platform,Sony Computer Entertainment,7.13,PS,Naughty Dog
Mario Kart 8,2014,Racing,Nintendo,7.09,WiiU,Nintendo
Super Smash Bros. Melee,2001,Fighting,Nintendo,7.07,GC,HAL Labs
Mario Kart: Double Dash!!,2003,Racing,Nintendo,6.95,GC,Unknown
Need for Speed Underground 2,2004,Racing,Electronic Arts,6.9,PS2,EA Canada
Medal of Honor: Frontline,2002,Shooter,Electronic Arts,6.83,PS2,EA LA
Crash Bandicoot,1996,Platform,Sony Computer Entertainment,6.82,PS,Unknown
The Last of Us,2014,Action-Adventure,Sony Computer Entertainment,6.77,PS4,Unknown
Just Dance 4,2012,Other,Ubisoft,6.76,Wii,Ubisoft
Gears of War 2,2008,Shooter,Microsoft Game Studios,6.75,X360,Epic Games
Uncharted 3: Drake's Deception,2011,Action-Adventure,Sony Computer Entertainment,6.74,PS3,Naughty Dog
Zumba Fitness,2010,Sports,505 Games,6.71,Wii,"Pipeworks Software, Inc."
Call of Duty 4: Modern Warfare,2007,Shooter,Activision,6.68,PS3,Infinity Ward
Uncharted 2: Among Thieves,2009,Action-Adventure,Sony Computer Entertainment,6.66,PS3,Naughty Dog
FIFA 12,2011,Sports,Electronic Arts,6.65,PS3,Unknown
FIFA Soccer 12,2011,Sports,EA Sports,6.65,PS3,EA Canada
Big Brain Academy,2005,Other,Nintendo,6.62,DS,Nintendo
The Legend of Zelda,1986,Action-Adventure,Nintendo,6.51,NES,Unknown
Red Dead Redemption,2010,Action-Adventure,Take-Two Interactive,6.49,PS3,Rockstar San Diego
FIFA 14,2013,Sports,Electronic Arts,6.47,PS3,EA Canada
Assassin's Creed III,2012,Action-Adventure,Ubisoft,6.45,PS3,Ubisoft
Donkey Kong Country Returns,2010,Platform,Nintendo,6.44,Wii,Retro Studios
Halo: Combat Evolved,2001,Shooter,Microsoft Game Studios,6.43,XB,Bungie Software
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,6.41,PS3,Bethesda Game Studios
Pokémon Emerald Version,2004,Role-Playing,Nintendo,6.41,GBA,Game Freak
Kingdom Hearts,2002,Role-Playing,Sony Computer Entertainment,6.4,PS2,SquareSoft
Pokémon Crystal Version,2000,Role-Playing,Nintendo,6.39,GB,Unknown
Halo 3: ODST,2009,Shooter,Microsoft Game Studios,6.34,X360,"Bungie Software, Bungie"
MineCraft,2014,Other,Sony Computer Entertainment,6.33,PS4,Unknown
FIFA 15,2014,Sports,EA Sports,6.32,PS4,Unknown
Red Dead Redemption,2010,Action-Adventure,Take-Two Interactive,6.32,X360,Rockstar San Diego
