name,year_of_release,genre,publisher,global_sales,console,developer
FIFA Soccer 11,2010,Sports,Electronic Arts,0.76,PS2,EA Sports
The Sims 3,2011,Simulation,Electronic Arts,0.76,3DS,EA Games
Mortal Kombat: Deception,2004,Fighting,Midway Games,0.76,XB,Midway
That's So Raven,2004,Action-Adventure,Disney Interactive Studios,0.76,GBA,Vicarious Visions
DJ Hero,2009,Other,Activision,0.76,Wii,Exient Entertainment
Toy Story 3: The Video Game,2010,Action-Adventure,Disney Interactive Studios,0.76,X360,Unknown
Marvel vs. Capcom 2: New Age of Heroes,2002,Fighting,Capcom,0.76,PS2,Unknown
Portal 2,2011,Shooter,Valve Software,0.76,PC,Valve Software
Duke Nukem Forever,2011,Shooter,Take-Two Interactive,0.76,PS3,"Gearbox Software, 3D Realms"
Star Wars: The Force Unleashed II,2010,Action-Adventure,LucasArts,0.76,Wii,"LucasArts, Red Fly Studio"
Legends of Wrestling,2001,Fighting,Acclaim Entertainment,0.76,PS2,Unknown
True Crime: New York City,2005,Action-Adventure,Activision,0.76,PS2,Unknown
Lost Planet 2,2010,Shooter,Capcom,0.76,X360,Unknown
Kane & Lynch: Dead Men,2007,Shooter,Eidos Interactive,0.76,X360,Unknown
Mario & Luigi: Paper Jam,2015,Role-Playing,Nintendo,0.76,3DS,Unknown
Final Fantasy Legend III,1991,Role-Playing,SquareSoft,0.76,GB,Unknown
Lego Marvel Super Heroes,2013,Action-Adventure,Warner Bros. Interactive Entertainment,0.76,WiiU,Traveller's Tales
FIFA Soccer 12,2011,Sports,EA Sports,0.76,Wii,EA Canada
Just Dance 2019,2018,Other,Ubisoft,0.76,NS,Ubisoft Paris
Just Dance 2018,2017,Other,Ubisoft,0.76,NS,Ubisoft Paris
Marvel vs. Capcom 2,2002,Fighting,Capcom,0.76,PS2,Capcom
The Walking Dead: A Telltale Games Series,2012,Action-Adventure,Telltale Games,0.76,X360,Telltale Games
LEGO City Undercover,2017,Platform,Warner Bros. Interactive Entertainment,0.75,PS4,Unknown
Pro Evolution Soccer 2018,2017,Sports,Konami Digital Entertainment,0.75,PS4,Unknown
Disney Infinity 2.0: Marvel Super Heroes,2014,Action-Adventure,Disney Interactive Studios,0.75,PS4,Unknown
Pro Evolution Soccer 2017,2016,Sports,Konami Digital Entertainment,0.75,PS4,Unknown
Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,0.75,XOne,Unknown
Rock Band 4,2015,Music,Harmonix Music Systems,0.75,XOne,Unknown
Harry Potter and the Half-Blood Prince,2009,Action-Adventure,Electronic Arts,0.75,Wii,EA Bright Light
Wall-E,2008,Platform,THQ,0.75,PS2,Asobo Studio
Professor Layton and the Azran Legacy,2013,Puzzle,Nintendo,0.75,3DS,Level 5
Super Monkey Ball: Touch & Roll,2005,Other,Sega,0.75,DS,Unknown
Mega Man X5,2000,Platform,Capcom,0.75,PS,Capcom
Nintendo Presents: New Style Boutique 2 - Fashion Forward,2015,Other,Nintendo,0.75,3DS,Unknown
Genji: Days of the Blade,2006,Action-Adventure,Sony Computer Entertainment,0.75,PS3,Game Republic
Rockstar Games presents Table Tennis,2006,Sports,Take-Two Interactive,0.75,X360,Rockstar San Diego
Drawn to Life: The Next Chapter,2009,Puzzle,THQ,0.75,Wii,Planet Moon Studios
PokePark 2: Wonders Beyond,2011,Action-Adventure,Nintendo,0.75,Wii,Creatures Inc.
DJ Hero 2,2010,Other,Activision,0.75,PS3,FreeStyleGames
WWE SmackDown vs. Raw 2009,2008,Fighting,THQ,0.75,PSP,Yuke's
LEGO Batman 2: DC Super Heroes,2012,Action-Adventure,Warner Bros. Interactive Entertainment,0.75,3DS,TT Games
SoulCalibur V,2012,Fighting,Namco Bandai Games,0.75,PS3,Project Soul
Shark Tale,2004,Action-Adventure,Activision,0.75,PS2,Edge of Reality
San Francisco Rush: Extreme Racing,1997,Racing,GT Interactive,0.75,N64,Unknown
Zone of the Enders,2001,Shooter,Konami Digital Entertainment,0.75,PS2,KCEJ
Street Fighter EX Plus Alpha,1997,Fighting,Virgin Interactive,0.75,PS,Unknown
Kane & Lynch: Dead Men,2007,Shooter,Eidos Interactive,0.75,PS3,Unknown
Deer Drive,2009,Sports,Big Ben Interactive,0.75,Wii,Kouyousha
Tony Hawk's Underground 2,2004,Sports,Activision,0.75,XB,Neversoft Entertainment
Madden NFL 06,2005,Sports,Electronic Arts,0.75,PSP,EA Tiburon
We Sing,2009,Other,Nordic Games,0.75,Wii,Unknown
Raving Rabbids: Travel in Time,2010,Action-Adventure,Ubisoft,0.75,Wii,Ubisoft
Capcom vs. SNK 2: Mark of the Millennium 2001,2001,Fighting,Capcom,0.75,PS2,Capcom
MVP 06 NCAA Baseball,2006,Sports,Electronic Arts,0.75,PS2,EA Canada
Turok,2008,Action-Adventure,Touchstone,0.75,X360,Propaganda Games
Coded Arms,2005,Shooter,Konami Digital Entertainment,0.75,PSP,Konami
Final Fantasy Tactics A2: Grimoire of the Rift,2007,Role-Playing,Square Enix,0.75,DS,Square Enix
Fire Emblem Echoes: Shadows of Valentia,2017,Role-Playing,Nintendo,0.75,3DS,Intelligent Systems
FIFA 19,2018,Sports,Electronic Arts,0.75,NS,EA Sports
Sniper Elite 3,2014,Shooter,505 Games,0.74,PS4,Unknown
Need for Speed (2015),2015,Racing,Electronic Arts,0.74,XOne,Unknown
Jump Ultimate Stars,2006,Fighting,Nintendo,0.74,DS,Unknown
Jampack Summer 2001,2001,Other,Sony Computer Entertainment,0.74,PS2,Unknown
The Lord of the Rings: Conquest,2009,Action-Adventure,Electronic Arts,0.74,PS3,Pandemic Studios
Band Hero,2009,Other,Activision,0.74,PS3,Neversoft Entertainment
Burnout,2001,Racing,Acclaim Entertainment,0.74,PS2,Criterion Games
Spectrobes,2007,Role-Playing,Disney Interactive Studios,0.74,DS,Jupiter Corporation
Rhythm Heaven: The Best+,2015,Other,Nintendo,0.74,3DS,Unknown
Yu-Gi-Oh! Dungeon Dice Monsters,2001,Other,Konami Digital Entertainment,0.74,GBA,Unknown
The Godfather II,2009,Action-Adventure,Electronic Arts,0.74,PS3,EA Redwood Shores
Mortal Kombat: Unchained,2006,Fighting,Midway Games,0.74,PSP,JGI Entertainment
Need for Speed: Shift,2009,Racing,Electronic Arts,0.74,PSP,EA Bright Light
Dark Souls II,2014,Role-Playing,Namco Bandai Games,0.74,X360,From Software
Sega Superstars Tennis,2008,Sports,Sega,0.74,DS,Sumo Digital
Assassin's Creed: Revelations,2011,Action-Adventure,Ubisoft,0.74,PC,Ubisoft Montreal
[Prototype 2],2012,Action-Adventure,Activision,0.74,PS3,Radical Entertainment
Midnight Club 3: DUB Edition,2005,Racing,Take-Two Interactive,0.74,XB,Rockstar San Diego
Resident Evil: Revelations,2013,Action-Adventure,Capcom,0.74,PS3,Capcom
Tom Clancy's Rainbow Six: Vegas,2007,Shooter,Ubisoft,0.74,PSP,Ubisoft Montreal
The Lord of the Rings: The Two Towers,2002,Action-Adventure,Electronic Arts,0.74,GBA,Unknown
Tiger Woods PGA Tour 2001,2001,Sports,Electronic Arts,0.74,PS2,Stormfront Studios
Red Faction: Guerrilla,2009,Shooter,THQ,0.74,PS3,Volition Inc.
Jet Moto 3,1999,Racing,Sony Computer Entertainment,0.74,PS,Unknown
Ace Combat: Assault Horizon,2011,Action-Adventure,Namco Bandai Games,0.74,PS3,Project Aces
X-Men Origins: Wolverine - Uncaged Edition,2009,Action-Adventure,Activision,0.74,PS3,Unknown
Unreal Championship,2002,Shooter,Atari,0.74,XB,Digital Extremes
WarioWare: Twisted!,Unknown,Puzzle,Unknown,0.74,GBA,Unknown
Lego Batman 3: Beyond Gotham,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.74,PS3,TT Games
Crysis 2,2011,Action-Adventure,Electronic Arts,0.74,PC,Crytek
Tales of Vesperia,2008,Role-Playing,Atari,0.74,X360,Bandai Namco Games
MLB 13: The Show,2013,Sports,Sony Computer Entertainment,0.74,PS3,SCEA San Diego Studios
LEGO Marvel Super Heroes,2013,Action-Adventure,Warner Bros. Interactive Entertainment,0.74,WiiU,TT Games
Namco Museum Remix,2007,Other,Atari,0.74,Wii,TOSE
NBA 2K16,2015,Sports,Take-Two Interactive,0.74,PS3,Visual Concepts
Sword of Mana,2003,Role-Playing,Nintendo,0.74,GBA,Brownie Brown
Sniper Elite III,2014,Shooter,505 Games,0.74,PS4,Rebellion Developments
Sonic Forces,2017,Platform,Sega,0.74,NS,Sonic Team
The Amazing Spider-Man (2012),2012,Action-Adventure,Activision,0.74,X360,Beenox
MLB 14 The Show,2014,Sports,Sony Computer Entertainment,0.73,PS4,Unknown
The Sims 4,2017,Simulation,Electronic Arts,0.73,XOne,Unknown
Need for Speed: Payback,2017,Racing,Electronic Arts,0.73,XOne,Unknown
Dead Rising 4,2016,Action-Adventure,Microsoft Studios,0.73,XOne,Unknown
FIFA 17,2016,Sports,Electronic Arts,0.73,PS3,"EA Sports, EA Vancouver"
Marvel: Ultimate Alliance 2,2009,Role-Playing,Activision,0.73,PS3,Vicarious Visions
Dragon Age: Inquisition,2014,Role-Playing,Electronic Arts,0.73,PC,BioWare
Resonance of Fate,2010,Role-Playing,Sega,0.73,PS3,Tri-Ace
Madagascar: Escape 2 Africa,2008,Action-Adventure,Activision,0.73,DS,Amaze Entertainment
Pirates of the Caribbean: At World's End,2007,Action-Adventure,Disney Interactive Studios,0.73,PS3,Eurocom Entertainment Software
FIFA: Road to World Cup 98,1997,Sports,Electronic Arts,0.73,PS,Unknown
The Amazing Spider-Man (Console Version),2012,Action-Adventure,Activision,0.73,X360,Unknown
Dragon Ball Z: Ultime Menace,1993,Fighting,Namco Bandai Games,0.73,SNES,Unknown
The Walking Dead: Season One,2012,Action-Adventure,Avanquest Software,0.73,X360,Unknown
Tiger Woods PGA Tour 08,2007,Sports,Electronic Arts,0.73,PS3,EA Salt Lake
Classic NES Series: Donkey Kong,2004,Platform,Nintendo,0.73,GBA,Nintendo
Harvest Moon: Animal Parade,2008,Simulation,Rising Star Games,0.73,Wii,Natsume
Split/Second,2010,Racing,Disney Interactive Studios,0.73,PS3,Unknown
Yoshi,1991,Puzzle,Nintendo,0.73,GB,Unknown
Mortal Kombat 4,1998,Fighting,GT Interactive,0.73,N64,Unknown
WWE SmackDown vs. Raw 2010,2009,Fighting,THQ,0.73,Wii,Yuke's
Style Savvy: Trendsetters,2012,Simulation,Nintendo,0.73,3DS,syn Sophia
Croc 2,1999,Platform,Fox Interactive,0.73,PS,Unknown
Final Fantasy XIII-2,2011,Role-Playing,Square Enix,0.73,X360,Square Enix
Practise English!,2007,Other,Nintendo,0.73,DS,Unknown
Oddworld: Munch's Oddysee,2001,Platform,Atari,0.73,XB,Oddworld Inhabitants
Persona 4: Arena,2012,Fighting,Atlus,0.73,PS3,Arc System Works
Berzerk,1981,Shooter,Atari,0.73,2600,Unknown
Brink,2011,Shooter,Bethesda Softworks,0.73,PS3,Splash Damage
NHL 11,2010,Sports,Electronic Arts,0.73,X360,Electronic Arts
NCAA Football 07,2006,Sports,Electronic Arts,0.73,X360,EA Sports
Just Dance Wii,2011,Other,Nintendo,0.73,Wii,Unknown
Full Spectrum Warrior,2004,Strategy,THQ,0.73,XB,Pandemic Studios
Katamari Damacy,2004,Puzzle,Namco Bandai Games,0.73,PS2,Namco
Just Dance 2015,2014,Other,Ubisoft,0.73,WiiU,Ubisoft
Beyblade VForce: Ultimate Blader Jam,2003,Action-Adventure,Atari,0.73,GBA,Takara
Naruto Shippuden: Ultimate Ninja Storm Generations,2012,Fighting,Namco Bandai Games,0.73,PS3,"CyberConnect2, Racjin"
Shaun Palmer's Pro Snowboarder,2001,Sports,Codemasters,0.73,PS2,Dearsoft
WipEout Omega Collection,2017,Racing,Sony Interactive Entertainment,0.72,PS4,Unknown
Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,0.72,PS4,Unknown
LEGO Dimensions,2015,Action-Adventure,Warner Bros. Interactive Entertainment,0.72,XOne,Unknown
James Bond 007: Agent Under Fire,2002,Shooter,Electronic Arts,0.72,GC,Electronic Arts
Harvest Moon DS: Island of Happiness,2007,Simulation,Rising Star Games,0.72,DS,TOSE
Star Wars Episode III: Revenge of the Sith,2005,Action-Adventure,Ubisoft,0.72,GBA,Ubisoft
Ultimate Spider-Man,2005,Action-Adventure,Activision,0.72,PS2,Treyarch
Monopoly Streets,2010,Other,Electronic Arts,0.72,Wii,Electronic Arts
Imagine: Interior Designer,2008,Simulation,Ubisoft,0.72,DS,Ubisoft
Ratchet & Clank Collection,2012,Action-Adventure,Sony Computer Entertainment,0.72,PS3,Unknown
SD Gundam G Generation,1998,Strategy,Namco Bandai Games,0.72,PS,Unknown
Rabbids Go Home,2009,Platform,Ubisoft,0.72,DS,Ubisoft Montpellier
God Eater,2010,Action-Adventure,Unknown,0.72,PSP,Unknown
Area 51,1996,Shooter,GT Interactive,0.72,PS,Unknown
Total War: Rome II,2013,Strategy,Sega,0.72,PC,Creative Assembly
NBA Live 08,2007,Sports,Electronic Arts,0.72,PS2,EA Canada
Star Ocean: The Last Hope International,2010,Role-Playing,Square Enix,0.72,PS3,"Square Enix, Tri-Ace"
Dead to Rights,2002,Shooter,Electronic Arts,0.72,XB,Namco
Indiana Jones and the Staff of Kings,2009,Action-Adventure,Activision,0.72,Wii,Artificial Mind and Movement
Tiger Woods PGA Tour 07,2006,Sports,Electronic Arts,0.72,PS2,EA Redwood Shores
My Little Pony: Pinkie Pie's Party,2008,Action-Adventure,THQ,0.72,DS,THQ
Test Drive 6,1999,Racing,Atari,0.72,PS,Unknown
Major League Baseball 2K7,2007,Sports,Spike,0.72,X360,Kush Games
Kouchuu Ouja Mushi King,2005,Action-Adventure,Sega,0.72,GBA,Unknown
Persona Q: Shadow of the Labyrinth,2014,Role-Playing,Nippon Ichi Software,0.72,3DS,Atlus
MLB 14: The Show,2014,Sports,Sony Computer Entertainment America,0.72,PS4,SCEA San Diego Studios
X-Men: Mutant Academy 2,2001,Fighting,Activision,0.72,PS,Paradox Development
Kirby: Canvas Curse,2005,Platform,Nintendo,0.72,DS,HAL Labs
Jampack Winter 2001,2001,Other,Sony Computer Entertainment,0.72,PS2,Unknown
Kangaroo,1982,Platform,Atari,0.72,2600,Unknown
Madden NFL 10,2009,Sports,Electronic Arts,0.72,Wii,EA Tiburon
MLB 09: The Show,2009,Sports,Sony Computer Entertainment,0.72,PS3,SCEA San Diego Studios
Borderlands: The Pre-Sequel,2014,Shooter,Take-Two Interactive,0.72,X360,2K Australia
Madden NFL 11,Unknown,Sports,Unknown,0.72,Wii,EA Tiburon
Super Monkey Ball Jr.,2002,Puzzle,Atari,0.72,GBA,Realism Ltd
The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,0.72,PC,CD Projekt Red Studio
F1 2011,2011,Racing,Codemasters,0.72,X360,Codemasters
Mobile Suit Gundam: Encounters in Space,2003,Simulation,Namco Bandai Games,0.72,PS2,Bandai
MLB 10: The Show,2010,Sports,Sony Computer Entertainment,0.72,PS3,SCEA
MX vs. ATV Reflex,2009,Racing,THQ,0.72,X360,Rainbow Studios
Blur,2010,Racing,Activision,0.72,PS3,Bizarre Creations
Avatar: The Game,2009,Action-Adventure,Ubisoft,0.72,Wii,Unknown
Fear Effect,1998,Action-Adventure,Eidos Interactive,0.72,PS,Unknown
Battlefield: Bad Company 2,2010,Shooter,Electronic Arts,0.72,PC,EA DICE
DiRT 3,2011,Racing,Codemasters,0.72,X360,Codemasters
Monster Hunter Generations Ultimate,2018,Action-Adventure,Capcom,0.72,NS,Capcom
James Cameron's Avatar: The Game,2009,Action-Adventure,Ubisoft,0.72,Wii,Ubisoft Montreal
Mx vs. ATV Reflex,2009,Racing,THQ,0.72,X360,Rainbow Studios
The LEGO Movie Videogame,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.71,PS4,Unknown
The Crew,2014,Racing,Ubisoft,0.71,XOne,Unknown
Plants vs Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.71,XOne,Unknown
The Lord of the Rings: The Two Towers,2002,Action-Adventure,Electronic Arts,0.71,XB,Stormfront Studios
Madden NFL 2003,2002,Sports,Electronic Arts,0.71,XB,EA Tiburon
Skate,2007,Sports,Electronic Arts,0.71,X360,EA Black Box
iCarly,2009,Action-Adventure,Activision,0.71,DS,Human Soft
XCOM: Enemy Unknown,2012,Strategy,Take-Two Interactive,0.71,PC,Firaxis Games
Ben 10: Protector of Earth,2007,Action-Adventure,D3Publisher,0.71,PSP,High Voltage Software
Virtua Fighter 4: Evolution,2003,Fighting,Sega,0.71,PS2,Sega
Crysis,2007,Shooter,Electronic Arts,0.71,PC,Crytek
Resident Evil: Survivor,2000,Action-Adventure,Eidos Interactive,0.71,PS,Capcom
The Sims 2: Castaway,2007,Simulation,Electronic Arts,0.71,DS,Full Fat
Super Trucks Racing,2002,Racing,Jester Interactive,0.71,PS2,Jester Interactive
Godzilla: Destroy All Monsters Melee,2002,Fighting,Atari,0.71,GC,"Pipeworks Software, Inc."
Jeremy McGrath Supercross 2000,2000,Racing,Acclaim Entertainment,0.71,PS,Acclaim
Conker: Live And Reloaded,2005,Action-Adventure,Microsoft Game Studios,0.71,XB,Unknown
Silent Hill 3,2003,Action-Adventure,Konami Digital Entertainment,0.71,PS2,KCET
Yu-Gi-Oh! The Falsebound Kingdom,2002,Strategy,Konami Digital Entertainment,0.71,GC,Unknown
Spyro: Enter the Dragonfly,2002,Platform,Universal Interactive,0.71,GC,Equinoxe
Scooby-Doo 2: Monsters Unleashed,2004,Action-Adventure,THQ,0.71,GBA,Altron
Power Rangers: Dino Thunder,2004,Action-Adventure,THQ,0.71,PS2,Pacific Coast Power & Light
Madden NFL 08,2007,Sports,Electronic Arts,0.71,PSP,EA Tiburon
Blast Corps,1997,Action-Adventure,Nintendo,0.71,N64,Unknown
LEGO Racers,1999,Racing,LEGO Media,0.71,N64,Unknown
WWF Attitude,1999,Fighting,Acclaim Entertainment,0.71,N64,Unknown
Tactics Ogre: Let Us Cling Together,1995,Role-Playing,Quest,0.71,SNES,Unknown
Madden NFL 09,2008,Sports,Electronic Arts,0.71,PSP,EA Tiburon
"WarioWare, Inc.: Mega Party Game$",2003,Puzzle,Nintendo,0.71,GC,Unknown
NBA Live 09,2008,Sports,Electronic Arts,0.71,X360,EA Canada
Battle Arena Toshinden 2,1995,Fighting,Sony Computer Entertainment,0.71,PS,Unknown
Dynasty Warriors 6,2007,Action-Adventure,Tecmo Koei,0.71,PS3,"Koei, Omega Force"
Jeopardy!,1997,Other,Hasbro Interactive,0.71,PS,Unknown
South Park,1998,Shooter,Acclaim Entertainment,0.71,PS,Unknown
NCAA Football 09,2008,Sports,Electronic Arts,0.71,X360,EA Tiburon
Doom 3: Resurrection of Evil,2005,Shooter,Activision,0.71,XB,"id Software, Nerve Software"
Mortal Kombat (2011),2012,Fighting,Warner Bros. Interactive Entertainment,0.71,PSV,NetherRealm Studios
Astro Bot Rescue Mission,2018,Platform,Sony Interactive Entertainment,0.71,PS4,SIE Japan Studio
SoulCalibur VI,2018,Fighting,Bandai Namco Games,0.71,PS4,Project Soul
Monster Hunter 3 Ultimate,2013,Role-Playing,Capcom,0.71,WiiU,Capcom
Marvel vs. Capcom: Infinite,2017,Fighting,Capcom,0.7,PS4,Unknown
Need for Speed Rivals,2013,Racing,Electronic Arts,0.7,XOne,Unknown
Wolfenstein II: The New Colossus,2017,Shooter,Bethesda Softworks,0.7,XOne,Unknown
SSX,2012,Sports,Electronic Arts,0.7,X360,EA Canada
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,2007,Role-Playing,Square Enix,0.7,Wii,"Eighting, Genius Sonority Inc."
Two Worlds,2007,Role-Playing,SouthPeak Games,0.7,X360,Reality Pump
Tony Hawk's Underground,2003,Sports,Activision,0.7,GC,Neversoft Entertainment
Spider-Man 2,2005,Action-Adventure,Activision,0.7,PSP,Vicarious Visions
Super Bomberman 3,1994,Puzzle,Hudson Soft,0.7,SNES,Unknown
NCAA Football 08,2007,Sports,Electronic Arts,0.7,X360,EA Sports
Command & Conquer: Red Alert Retaliation,1998,Strategy,Virgin Interactive,0.7,PS,Unknown
Skylanders: Trap Team,2014,Action-Adventure,Activision,0.7,WiiU,Toys for Bob
Star Wars: Obi-Wan,2001,Action-Adventure,Activision,0.7,XB,LucasArts
Ace Attorney Investigations: Miles Edgeworth,2009,Action-Adventure,Capcom,0.7,DS,Capcom
Kill.Switch,2003,Shooter,Sony Computer Entertainment,0.7,PS2,Namco
Catherine,2011,Action-Adventure,Deep Silver,0.7,PS3,Atlus
Madden NFL 2005,2004,Sports,Electronic Arts,0.7,GC,EA Tiburon
F-14 Tomcat,2001,Action-Adventure,Majesco Entertainment,0.7,GBA,Virtucraft
SplashDown,2001,Racing,Atari,0.7,PS2,Rainbow Studios
NCAA Football 98,1997,Sports,Electronic Arts,0.7,PS,Unknown
Jade Empire,2005,Role-Playing,Microsoft Game Studios,0.7,XB,BioWare
Infinite Undiscovery,2008,Role-Playing,Square Enix,0.7,X360,Tri-Ace
FIFA Soccer 11,2010,Sports,Electronic Arts,0.7,DS,EA Sports
Chocobo's Dungeon 2,1998,Role-Playing,SquareSoft,0.7,PS,Unknown
Call of Duty: Ghosts,2013,Shooter,Activision,0.7,PC,Unknown
NHL 12,2011,Sports,Electronic Arts,0.7,X360,Electronic Arts
Advance Wars,2001,Strategy,Nintendo,0.7,GBA,Intelligent Systems
NASCAR 2001,2000,Racing,Electronic Arts,0.7,PS2,EA Sports
NCAA Football 2001,2000,Sports,Electronic Arts,0.7,PS,Unknown
WWE SmackDown vs. Raw 2011,2010,Fighting,THQ,0.7,PSP,Yuke's
Mafia,2004,Action-Adventure,Illusion Softworks,0.7,PS2,Illusion Softworks
Hannah Montana: The Movie,2009,Action-Adventure,Disney Interactive Studios,0.7,DS,n-Space
Ape Escape: On the Loose,2005,Platform,Sony Computer Entertainment,0.7,PSP,"SCEA, Sims"
Mobile Suit Gundam: Journey to Jaburo,2000,Simulation,Namco Bandai Games,0.7,PS2,Bandai
MLB 08: The Show,2008,Sports,Sony Computer Entertainment,0.7,PS3,SCEA San Diego Studios
TimeSplitters 2,2002,Shooter,Eidos Interactive,0.7,PS2,Free Radical Design
Omerta: City of Gangsters,2011,Simulation,Konami Digital Entertainment,0.7,X360,Kalypso
Driver: San Francisco,2011,Racing,Ubisoft,0.7,X360,Ubisoft Reflections
Classic NES Series: Zelda II: The Adventure of Link,2004,Action-Adventure,Nintendo,0.7,GBA,Nintendo
Fire Emblem: Monsh? no Nazo,1994,Role-Playing,Nintendo,0.7,SNES,Unknown
Disney's Chicken Little,2005,Platform,Disney Interactive Studios,0.7,GBA,Artificial Mind and Movement
James Bond 007: Blood Stone,2010,Shooter,Activision,0.7,PS3,Bizarre Creations
Transformers: Revenge of the Fallen,2009,Action-Adventure,Activision,0.7,PS3,Luxoflux Corp.
Metal Gear Solid HD Collection,2011,Action-Adventure,Konami Digital Entertainment,0.7,X360,Bluepoint Games
Fire Emblem: Monshou no Nazo,1994,Strategy,Nintendo,0.7,SNES,Intelligent Systems
Dark Souls II,2015,Role-Playing,Namco Bandai Games,0.69,PS4,Unknown
Yakuza 6,2016,Action-Adventure,Sega,0.69,PS4,Unknown
The Evil Within,2014,Other,Bethesda Softworks,0.69,XOne,Unknown
LEGO Worlds,2017,Other,Warner Bros. Interactive Entertainment,0.69,XOne,Unknown
King Kong,1981,Action-Adventure,Tigervision,0.69,2600,Unknown
Moto Racer 2,1997,Racing,Electronic Arts,0.69,PS,Unknown
Metal Gear Solid: Portable Ops Plus,2007,Action-Adventure,Konami Digital Entertainment,0.69,PSP,Kojima Productions
LEGO Rock Band,2009,Other,Warner Bros. Interactive Entertainment,0.69,Wii,TT Fusion
Monster Hunter Tri,2012,Role-Playing,Nintendo,0.69,WiiU,Unknown
Halo 2 Multiplayer Map Pack,2005,Shooter,Microsoft Game Studios,0.69,XB,Bungie Software
Mortal Kombat: Shaolin Monks,2005,Action-Adventure,Midway Games,0.69,PS2,Midway Studios - Los Angeles
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009,Shooter,Activision,0.69,PS3,Unknown
Minecraft: Story Mode,2015,Action-Adventure,Mojang,0.69,PS3,Unknown
FIFA Soccer 13,2012,Action-Adventure,Electronic Arts,0.69,Wii,Electronic Arts
The LEGO Movie Videogame,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.69,3DS,TT Games
MotionSports,2010,Sports,Ubisoft,0.69,X360,Ubisoft Milan
MX vs. ATV Unleashed: On the Edge,2006,Racing,THQ,0.69,PSP,Rainbow Studios
Mario Pinball Land,2004,Other,Nintendo,0.69,GBA,Fuse Games Limited
Mappy,1984,Platform,Namco Bandai Games,0.69,NES,Unknown
J-League Soccer: Prime Goal,1993,Sports,Namco Bandai Games,0.69,SNES,Unknown
Dragon Ball Z: Budokai,2003,Fighting,Atari,0.69,GC,Pyramid
NFL Xtreme,1998,Sports,Sony Computer Entertainment,0.69,PS,Unknown
Plants vs. Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.69,XOne,PopCap
The Sims 2: Apartment Pets,2008,Simulation,Electronic Arts,0.69,DS,Full Fat
Harry Potter and the Chamber of Secrets,2002,Action-Adventure,Electronic Arts,0.69,GC,Eurocom Entertainment Software
Prince of Persia: The Forgotten Sands,2010,Action-Adventure,Ubisoft,0.69,PS3,Ubisoft Montreal
X-Men Origins: Wolverine - Uncaged Edition,2009,Action-Adventure,Activision,0.69,X360,Unknown
The Lord of the Rings: The Return of the King,2003,Action-Adventure,Electronic Arts,0.69,GC,Hypnos Entertainment
The Sims: Medieval,2011,Simulation,Electronic Arts,0.69,PC,The Sims Studio
LEGO Batman 2: DC Super Heroes,2012,Action-Adventure,Warner Bros. Interactive Entertainment,0.69,DS,TT Games
Top Spin 4,2011,Sports,Take-Two Interactive,0.69,PS3,2K Czech
Super Mario USA,1992,Platform,Nintendo,0.69,NES,Nintendo EAD
FIFA 13,2012,Sports,EA Sports,0.69,Wii,EA Canada
Fortnite,2018,Shooter,Warner Bros. Interactive Entertainment,0.69,NS,Epic Games
Dark Souls II: Scholar of the First Sin,2015,Role-Playing,Namco Bandai Games,0.69,PS4,From Software
Mario Party: The Top 100,2017,Other,Nintendo,0.69,3DS,"Nd Cube Co., Ltd."
Rayman Legends,2017,Platform,Ubisoft,0.69,NS,Ubisoft Montpellier
F1 2015,2015,Racing,Codemasters,0.68,PS4,Unknown
METRO 2033,2014,Shooter,Deep Silver,0.68,PS4,Unknown
Borderlands: The Handsome Collection,2015,Shooter,2K Games,0.68,XOne,Unknown
Shrek the Third,2007,Action-Adventure,Activision,0.68,X360,Unknown
Baldur's Gate: Dark Alliance II,2004,Role-Playing,Interplay,0.68,PS2,Black Isle Studios
Shark Tale,2004,Action-Adventure,Activision,0.68,GBA,Vicarious Visions
IL-2 Sturmovik: Birds of Prey,2009,Simulation,505 Games,0.68,PS3,Gaijin Entertainment
Test Drive Unlimited 2,Unknown,Racing,Atari,0.68,X360,Eden
Star Wars: Masters of Teras Kasi,1997,Action-Adventure,LucasArts,0.68,PS,Unknown
World of Zoo,2009,Simulation,THQ,0.68,DS,Blue Fang Games
NBA Street Vol. 2,2003,Sports,Electronic Arts,0.68,XB,Electronic Arts
Minecraft,2016,Other,Microsoft Game Studios,0.68,WiiU,Unknown
MX vs. ATV Untamed,2007,Racing,THQ,0.68,X360,Rainbow Studios
The Last Remnant,2008,Role-Playing,Square Enix,0.68,X360,Square Enix
NCAA Football 2005,2004,Sports,Electronic Arts,0.68,XB,EA Sports
Mortal Kombat Mythologies: Sub-Zero,1997,Fighting,GT Interactive,0.68,PS,Unknown
